1,"Life Bencher","2018-12-26 12:20:58","2018-12-26 12:20:58"
2,Chairman,"2018-12-26 12:20:58","2018-12-26 12:20:58"
3,"Vice Chairman","2018-12-26 12:20:58","2018-12-26 12:20:58"
4,Secretary,"2018-12-26 12:20:58","2018-12-26 12:20:58"
5,"Former Chairman","2018-12-26 12:20:58","2018-12-26 12:20:58"
6,"Chief Justice Of Nigeria","2018-12-26 12:20:58","2018-12-26 12:20:58"
7,"Justice, Supreme Court","2018-12-26 12:20:58","2018-12-26 12:20:58"
8,"President, Court Of Appeal","2018-12-26 12:20:58","2018-12-26 12:20:58"
9,"Presiding Justice, Court of Appeal","2018-12-26 12:20:59","2018-12-26 12:20:59"
10,"Chief Judge, Federal High Court","2018-12-26 12:20:59","2018-12-26 12:20:59"
11,"Chief Judge","2018-12-26 12:20:59","2018-12-26 12:20:59"
12,"Attorney-General/Minister of Justice","2018-12-26 12:20:59","2018-12-26 12:20:59"
13,Attorney-General,"2018-12-26 12:20:59","2018-12-26 12:20:59"
14,"Chairman of the Council of Legal Education","2018-12-26 12:20:59","2018-12-26 12:20:59"
15,"President, NBA","2018-12-26 12:21:00","2018-12-26 12:21:00"
16,"Representative, NBA","2018-12-26 12:21:00","2018-12-26 12:21:00"
17,"Chairman, NAC on Judiciary","2018-12-26 12:21:00","2018-12-26 12:21:00"
18,"Bencher, Under Section 3(1)(L)","2018-12-26 12:21:00","2018-12-26 12:21:00"
